__id	__seed	記録の扱い	タイトル	種類	領域	一言要約	タグ	頻度	最終実施日	何をしたか	いつ・どこで	自分の役割	関係者	結果・変化	証拠・具体例	紐づくID	期限	裁量	関係者の広さ	不確実性	条件タグ	好き度	消耗度	扱える範囲	数字・データ	言葉・文脈	人・利害	現場運用	制作・表現	技術・仕組み	振り返りメモ	反証・うまくいかなかった条件	次に試すこと	面接での利用	一言で言うと	再現できる条件	他社でも通じる言い換え	応募先・用途タグ
	work-integrated-promotion	事実	企画から告知・当日運用・振り返りまでを一気通貫で回す	能力・知識	仕事	試合・イベント案件を、企画設計から発信、現場、振り返りまで分断せずに扱う。	浦和レッズ | 広報 | プロモーション | プロジェクト推進	繰り返し		試合・イベントの企画、チケット販促、発信、当日運用、振り返りをまたいで担当している	浦和レッズ在籍3年目までの継続実務	広報・プロモーション担当	社内各部署、制作会社、会場運営、パートナー、メディア	案件の前後工程をつなげて進める経験を蓄積した	"職務経歴書の担当領域
企画書・告知物・進行表・振り返り資料"		短納期	中程度	社外含む	例外あり	目的が明確 | 判断期限あり | 現場運用あり | 関係者が多い | 文章化が必要	5	3	4	2	3	3	3	2	1	企画意図、対象者、判断期限、現場で起きる例外を一枚に近づけると、後工程の手戻りが減る。	決裁者や目的が不明確な状態では、進行管理だけでは前に進まない。	案件ごとに『企画・告知・現場・検証』を一枚で追える設計を定型化する。	使う	企画から告知、現場運用、振り返りまでを分断せずに進める。	目的、対象者、決裁者、期限を初期に共有できる案件	統合コミュニケーション設計・プロジェクト推進	PARK | ShapePartner | OZMA | PM | Producer
	work-ticket-segmentation	事実	来場者層を分け、チケット施策の対象と目的を設計する	能力・知識	仕事	来場者層の違いを前提に、試合ごとの狙い・訴求・販売導線を考える。	チケット | CRM | セグメント | 集客	繰り返し		1・3・5・7層などの来場者区分を前提に、試合別の来場促進や最終節の訴求を検討した	2024年以降のチケット販促実務	広報・販売促進	広報、チケット、営業、制作、ファンコミュニケーション	全体平均だけでは見えない対象者ごとの課題を施策へ接続した	"チケット販売・発券の集計資料
試合別の告知設計メモ"		期限あり	中程度	複数部署	例外あり	数字が見える | 目的が明確 | 文章化が必要 | 関係者が多い	4	2	4	3	2	2	1	1	1	数字を見るだけでなく、その層が来場を迷う理由と、次に取ってほしい行動を置くと施策になる。	層の定義やデータ取得の粒度が揃っていないと、施策の評価が曖昧になる。	各層ごとに『障壁・訴求・導線・見る指標』を同じ形式で残す。	使う	来場者の違いを前提に、販売・発信・体験の打ち手を組み立てる。	対象データと事業上の目的が共有されているとき	顧客セグメント設計・来場促進	ファンベース | CRM | マーケティング
	work-opening-kashima-report-2026	事実	2026年開幕・鹿島戦のデジタル施策を数値で振り返る	実例	仕事	広告・SNS等の反応を、接触からコンバージョンまで追い、振り返りに使う。	広告 | SNS | KPI | レポート | 鹿島戦	単発		2026年開幕戦（鹿島戦）の施策レポートで、週別・日別の広告／SNS指標を整理した	2026年2月13日〜2月27日	レポート確認・活用	広報・プロモーション、広告関係者	impressions 4,026,474、link click 7,169、engagement 42,265、総CV 6,096を確認できる形にした	"2026年開幕戦（鹿島戦）レポート
impressions 4,026,474
link click 7,169
engagement 42,265
総CV 6,096"		期限あり	中程度	複数部署	定型	数字が見える | 目的が明確 | 文章化が必要	4	2	4	3	2	1	1	0	2	媒体ごとの数字を並べるだけでなく、次の打ち手に使う比較軸を明確にする。	CVの定義や計測範囲を確認しないと、媒体間比較を誤る。	施策前の仮説と、施策後の数値変化を同じレポート内で接続する。	使う	接触・反応・CVをつなげ、広告施策を次の判断に使えるレポートにする。	計測定義と目的KPIが共有されているとき	デジタルマーケティング分析・施策評価	マーケティング | データ | PM
	work-ticket-kpi-table	事実	チケット・施策数値を、判断できる表に整える	能力・知識	仕事	販売・発券・PV・反応などの数値を、進捗と判断材料が読める形にする。	Excel | Googleスプレッドシート | KPI | データ | 集客	繰り返し		チケットや施策の数値を集計し、比較・進捗・課題が読める表に整えた	継続	主担当	広報、営業、関係部署	数字を施策の判断材料として共有しやすくした	"集計シート
KPIレポート
施策振り返り資料"		期限あり	高い	複数部署	定型	数字が見える | 目的が明確 | 裁量あり	4	2	4	3	1	1	1	0	2	単に集計するより、比較対象と次の判断を同じ画面に置くと価値が出る。	元データの定義が揃っていない場合は、まず前提確認が必要。	定例で使う数表をテンプレート化する。	候補	数字を、関係者が次の判断をできる形に整える。	データ定義と意思決定の用途が共有されているとき	事業KPIの可視化・意思決定支援	データ | Excel | Tableau
	work-hot-summer-2026	事実	URAWA HOT SUMMERの集客・体験を横断して設計する	実例	仕事	夏のテーママッチで、会場体験と来場促進を結び、企画・告知・運営を進める。	URAWA HOT SUMMER | テーママッチ | 集客 | 会場体験	単発		2026年7月20日町田戦に向け、やぐら、夏祭り、キャップ配布、学校訪問、YouTube等を含む施策を準備した	2026年6〜7月の準備	企画・告知・進行	社内各部署、制作、学校、メディア、会場運営	集客目標と会場体験を接続するための施策群を整理した	"URAWA HOT SUMMER企画資料
与野八幡小学校訪問（約580人）
メディア10社対応
チケット進捗メモ"		短納期	中程度	社外含む	例外あり	目的が明確 | 判断期限あり | 現場運用あり | 関係者が多い | 文章化が必要	5	3	4	2	3	3	3	3	1	『夏らしさ』を飾りにせず、来場する理由・当日の体験・発信素材へ落とす必要がある。	単発の話題性だけでは、販売目標に対する効き方が見えにくい。	施策ごとに、来場前・会場・来場後で果たす役割を明文化する。	使う	会場体験・来場促進・発信を、テーママッチの一つの体験として設計する。	企画テーマと集客課題を同時に扱える案件	イベントマーケティング・ファンエンゲージメント	イベント | ファンベース | PM
	work-enjitsu-2026	事実	炎日（川崎戦）の地域性と会場体験を企画する	実例	仕事	地域の祭りとの競合も踏まえ、提灯・やぐら・餅まき等の体験設計を検討する。	炎日 | 地域連携 | イベント | 会場運営	単発		2026年8月24日川崎戦に向け、提灯、やぐら、餅まき、DJ、OB・レディース施策などを含む企画を検討した	2026年6月時点の準備	企画・調整	社内、地域、OB・レディース、会場運営、制作	地域祭りとの競合や季節性を含め、開催時期・体験の課題を整理した	"炎日企画メモ
提灯募集状況メモ
販売進捗資料"		期限あり	中程度	社外含む	前例なし	現場運用あり | 関係者が多い | 前例なし | 数字が見える	4	3	3	2	3	3	3	2	0	『地域にある祭り』とクラブ主催イベントの違いを先に定義しないと、企画の必然性が薄くなる。	地域行事との競合が強い場合、内容の魅力だけで来場を動かし切れない。	季節・競合・来場者層を踏まえた開催時期の比較案をつくる。	候補	地域文脈と会場体験を踏まえ、イベントの必然性を組み立てる。	地域との関係性と事業目的を両立させる案件	地域連携イベント企画	地域連携 | イベント
	work-opening-promo-corso-parco	事実	商業施設を使った開幕プロモーションの掲出物を進行する	実例	仕事	コルソ・パルコ等での掲出に向け、入稿物、納期、費用、設置条件を整理する。	OOH | 開幕 | コルソ | パルコ | 進行管理	単発		コルソでの4日間掲出を含む開幕プロモーションについて、特大バナー、B1パネル、等身大、撮影ボード等の制作・入稿条件を整理した	2026年6〜7月	制作進行・調整	商業施設、制作チーム、社内関係者	掲出サイズ・納期・予算を制作物ごとに整理した	"掲出物リスト
入稿日メモ（特大バナー・B1パネル 7/3、等身大・撮影ボード 7/7）
予算100万円の整理"		短納期	中程度	社外含む	例外あり	判断期限あり | 関係者が多い | 現場運用あり | 文章化が必要	3	4	4	1	2	3	3	2	0	同じ『ポスター』でも、掲出場所・用途・入稿条件が違う。制作物単位で前提を分ける。	施設側の仕様や調整状況が未確定だと、デザイン着手の判断が遅れる。	サイズ・納期・確認者・入稿形式を一行で追える進行表に統一する。	使う	複数媒体の掲出物を、仕様・納期・意思決定まで含めて進行する。	媒体仕様と制作工程を早期に並べられる案件	OOH制作進行・販促プロジェクト管理	Producer | PM | 広告
	work-blue-kit-kv	事実	『レッズは、青い』のKV要件を言葉と画面に落とす	実例	仕事	薄い青基調・赤最小・左に選手・右にコピーという制約から、メッセージと見せ方を整理する。	KV | コピー | アートディレクション | ユニフォーム	単発		青ユニフォームのKVについて、コピー『レッズは、青い』、配色、選手配置、タイポの要件を整理した	2026年6月	企画・制作ディレクション	制作チーム、社内関係者	短いコピーと視覚要件を、制作へ渡せる状態にした	"KV制作依頼メモ
コピー案・配色・レイアウト要件"		期限あり	中程度	複数部署	例外あり	文章化が必要 | 目的が明確 | 制作・表現を扱う	5	2	4	0	3	2	1	3	0	コピーを説明文にせず、視覚の判断を進める『核』にする。	コピーだけが先行し、クラブ文脈や受け手の受け取り方が薄いと、強さが記号化する。	1行コピーごとに、視覚・媒体・想定受け手をセットで比較する。	候補	言葉と視覚の制約を整理し、制作判断の核になるコピーをつくる。	ブランド文脈と制作要件が両方ある案件	コンセプト開発・クリエイティブディレクション	PARK | SIGNING | ブランディング
	work-kids-park-banner	事実	ファミリー向け施設サインを、長期運用前提で設計する	実例	仕事	必須文言・マスコット・大判サイズ・長期使用を前提に、情報量と見やすさを整理する。	ファミリー | サイン | キッズぱ〜く | 制作進行	単発		W5600×H2800のキッズぱ〜く壁面バナーで、必須文言『ファミリーシート専用キッズぱ〜く』、4体マスコット、長期使用を前提に要件を整理した	2026年6月	要件整理・制作依頼	制作チーム、会場運営、ファミリー施策担当	現場での視認性と長期使用を両立する制作条件を明文化した	"壁面バナー制作要件
サイズ W5600×H2800"		期限あり	中程度	複数部署	定型	現場運用あり | 文章化が必要 | 目的が明確	4	2	4	0	2	2	3	3	0	『誰のための場所か』を最初に読めるようにし、装飾は役割を補強するために使う。	短期イベント用のテンションで作ると、長期掲出で情報が疲れる。	設置距離別の見え方を確認するラフチェックを定型化する。	候補	利用者・設置環境・長期運用を踏まえて、現場で機能するサインに落とす。	利用者と設置場所が明確な環境	環境グラフィック・顧客体験設計	CX | デザイン
	work-cinema-ad-spec	事実	シネアド出稿の規定と入稿日を、制作チームが動ける情報にする	実例	仕事	複数映画館の媒体仕様・開始希望日・素材条件を調べ、制作チーム向けに整理する。	シネアド | 媒体出稿 | 入稿 | 制作進行	単発		ユナイテッド・シネマ浦和、イオンシネマ浦和美園、MOVIX川口、イオンシネマ川口での15秒出稿に向け、規定・入稿日・制作条件を整理した	2026年6月	調査・制作連携	映画館媒体社、制作チーム、社内関係者	制作チームが判断・制作着手できる情報に変換した	"映画館4館の出稿予定
15秒素材の制作条件メモ"		期限あり	高い	社外含む	例外あり	目的が明確 | 判断期限あり | 文章化が必要 | 関係者が多い	4	2	4	1	2	2	2	1	1	調査結果を羅列せず、『誰がいつ何を判断すれば制作が進むか』に並べ替える。	媒体社ごとの回答待ちが残ると、確定情報と仮情報が混ざる。	媒体ごとに『確定・確認中・制作判断に必要』を色分けする。	候補	複数媒体の仕様を、制作が進む判断情報へ翻訳する。	媒体仕様と希望開始日を早期に集められる案件	メディアプランニング支援・制作進行	広告 | Producer
